title,rate,cuisine,location,address,street,price_from,price_till,url,description,opening_hours,wifi_available,smoking_area_available,outdoor_seat_available,full_time_available,vip_room_available,reservation_available,parking_area_available,review_11,review_12,review_13
Jenderal Kopi Nusantara Buwas,4.44,['Kafe'],Riau,,"Jl. LLRE Martadinata No. 219, Riau, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/jenderal-kopi-nusantara-buwas-riau,,"Senin - Kamis (10:00 - 22:00), Jumat - Sabtu (10:00 - 23:00), Minggu (10:00 - 22:00)",True,True,True,False,True,True,True,"Kali ini ku mau coba beberapa menu yang berbeda dari sebelumnya, xixi 😆Chicken rosemarynya ini ayamnya lembuuttt, bumbunya meresap sampai dalam dan teksturnya empuk, kentangnya enak, jangan lupa cocol saus bbq nya makin enak! Salmonnya ini ukurannya cukup besar, luarnya kering sampai kulitnya pun kering, sausnya endulitaaa, salmonnya ga amis sama sekali, enak banget plisss 🤤Pumpkin soupnya ga begitu terasa pumpkin, bingung antara manis-asin, ada potongan pumpkinnya, soupnya creamyyy sekaliii, aku makannya dikit dikit karena kalo langsung banyak agak eneg, tapi sesuai selera aja sih~ Platternya ini banyakk yah isiannya, tapi yang paling aku suka chipsnya. Chips homemade, krispi dan berbumbu, dicocol sausnya enakk~Mean green ini healthy juice, rasa sayurnya masih berasa kata aku mah meskipun rasa nanasnya dominan, oya ini tanpa gula tambahan loh~Orange-Strawberry Juice ini asyeemm dari jeruk dan strawberrynya, manisnya tipis, seger sih bagi yang suka sama yang asyem asyem mah~ Mango cream cheese, dapet serutan kejunya banyak, beneran creamy dan ada aroma mango, aku suka karena pecinta creamy dan keju hahhaaa~ Starling violet ini mocktail, soda dan sirupnya cuco, asem manis segar! Japanese coffeenya menurut aku mah pait asem khas arabica, aku yang terbiasa robusta agak-agak takut yaaa aslam naik hihi~ Bagi yang suka arabica wajib cobain deccc 😄*harga belum termasuk ppn & service","Balik lagi ke Jenderal kopi nih buat icip-icip menu western mereka. Dan baru ngeuh juga pilihan menu disini tuh beneran beragam mulai dari Indonesian food sampai Asian dan Western ada semua. Penampilannya sih cakep seperti biasa, dan porsinya juga cukup wow untuk ukuran cafe sig ini kenyang! Dari segi rasa, menu-menu western ini memang ga semedok menu Indonesiannya, but still Ok koq. Pumpkin soupnya enak, creamy dan ga grainy! Salmon steaknya sedikit overcooked tapi skinnya garing gurih. Untuk rosemary chickennya saosnya kemanisan. Minuman-minumannya juga ga ada yang failed. Harga memang ga bohong. Ada harga ada rasa dan ada kualitas.",Always suka datang ke Jenderal Kopi Nusantara Buwas... Tempatnya estetik nan mevvah ... Banyak pilihan menu makanan dan minuman yang enak dengan penyajian yang cantik. Kali ini aq bareng temen temen @pergikuliner_bdg @pergikuliner cicipin :Makanan- Chicken Rosemary- Salmon scallopini- Pumpkin soup- Jenderal PlatterMinuman- Mean green - Orange - Strawberry Juice- Mango Cream Cheese- Starling violet Dari menu diatas yang paling aq suka chicken rosemary saus bumbunya asin manis gitu. minumnya starling violet manis seger ada sodanya.Jenderal Kopi Nusantara Buwas @jenderalkopi.idJl. Martadinata No. 219 BandungMinggu - Kamis 10.00 - 22.00Jumat - Sabtu 10..00 - 23.00RSVP 08119216869
Kopi Toko Djawa,3.96,['Kafe'],Braga,,"Jl. Braga No. 81, Braga, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/kopi-toko-djawa-braga,,Senin - Minggu (08:00 - 22:00),False,True,False,False,False,True,True,"Tempatnya unik dan nyeni, tapi kapasitas pengunjung terbatas. Duduk di atas, sayang wifinya malah ngga kedapetan. Kopinya ternyata ngga terlalu spesial, cenderung watery. Mungkin mau coba cake dan bakery nya lain kali.","Kesini karena liat rekomendasi coffee shop di Braga salah satunya ini, menurutku sih gak ada yg terlalu spesial disini, kopi judulnya cukup creamy tapi masih terlalu manis buatku yg udah minta dikurangi gulanya, aku juga beli bolu pisang yg ditengahnya ada potongan keju (tidak lumer), tipe bolu pisang yang kering dan klasik.","Tergoda ikut2an temen beli kopi disini, katanya wajib cobain kopi awan. Tapi pilihan jatuh ke ES KOPI TOKO DJAWA.Pilihan original, buat rasa menurut aq biasa sajaaa. Kopi dan susunya balance dan ga terlalu manis. Lokasi agak sesak klo lagi banyak org. Suasana mayan asik dan klasik.Rekomen kesini siang lah jadi  suasana vintagenya berasa"
Myboo.Kit Cafe and Playground,4.26,['Kafe'],Dago Atas,,"Jl. Bukit Pakar Timur No. 2, Dago Atas, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/myboo-kit-cafe-and-playground-dago-atas,,Senin - Minggu (08:00 - 23:00),True,True,True,False,True,True,True,"tertarik banget kesini karena ada playground anak kecil-nya. buat anak2, hepi sih iya. tapi buat makanannya, sayang sekali kurang.gua pesen nasi goreng bookit, nasi liwet, tomyam noodle dan pisang goreng. semuanya beneran b aja. paling mending nasi goreng-nya.nasi liwetnya ga gurihtomyam noodle, gua sampe ga abis, cuma makan topping ayam-nya doankpisang gorengnya banyak tepungnyawaktu gua kesini siang2, banyak lalat. minta lilin aja lama banget....kalo mau kasih main anak2 dan menikmati dago atas, bisa kesini. tapi bukan untuk makanan berat-nya.","Milky Way Hot 4,9/5 Rp. 27.000/potPisang Goreng 4,9/5 Rp. 22.000/porsiDisini enak banget buat tea time sore hari, apalagi nge-teh milky way yang udah jadi favorite aku banget! Aromanya milky, apalagi disruput pas masih panas, endulita ✨Cemilannya pisang goreng, pisangnya manis, tepungnya ga begitu tebel, cocol selai dan tabur keju, enak! *harga belum termasuk ppn & service","best kids friendly cafe in bandung .. makanannya enak, tempatnya juga nyaman banget"
Warung Kopi Purnama,3.86,['Kafe'],Banceuy,,"Jl. Alkateri No. 22, Banceuy, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/warung-kopi-purnama-banceuy,,Senin - Minggu (06:30 - 22:00),True,True,True,False,False,True,False,"Kesini buat brunch, datang hampir jam 9am, tidak ada antrian meski ada line untuk in dan out pengunjung. Duduk di area dekat kasir, langsung dikasih menu, pilih Lontong Cap Gomeh dan telur rebus 1/2 matang yang sudah dikupas.Pelayanannya cepat dan ramah, lontong cap gomeh datang duluan. Rasa lontong-nya tidak keras, lembut, enak, dapat 1 kerupuk, porsinya pas, bumbunya gurih, sambal tidak pedas, banyak cacahan daging. Telur 1/2 matang disajikan panas, dengan lada di mangkuk kecil, rasanya seperti telur ayam kampung umumnya. Toilet ada dibagian agak dalam, area wanita dan pria dipisah, di area lebih dalam ada kursi sofa dan lebih semi outdoor. Area adem karena atap tinggi, pembayaran hanya cash dan debit.","First thing first pas nyampe di Bandung — sarapan di Warung Kopi Purnamaaa! Mesen Kopi Susu Tubruk Panas (IDR 23,000) yang super enakkk! Makanannya mesen Roti Gulung Smoked Beef (IDR 23,000) dan yang wajib dipesan Keju Aroma (IDR 22,000)! Recommended!","Letaknya di jalan alkateri dan strategis banget deket alun-alun. Kita kesini pas banget abis ujan ujan dan pengen ngopi dan makan comfort food.Langsung saja memutuskan utk kesini, pesen kopi hitam, roti selai srikaya dan telur 3/4 matang. Nyaman!! pas disaat itu suasanya emang gak begitu rame karena udah sore jadi tempatnya sangat enak buat dinikmati lama-lama Kopi hitamnya mungkin simpel, tapi asli wanginya haruuuum banget beda sama kopi-kopi yang dijual, roti dan srikaya nya juga disini homemade, wangi, gak giung. Sekarang paham kenapa mereka rame terus kalau pagi karena emang enak-enak dan relatif terjangkau. Next akan balik lagi! 🖤"
Mampirry Cafe & Resto,4.26,['Kafe'],Kopo,,"Jl. Taman Kopo Indah III Blok F No. 28 - 29, Kopo, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/mampirry-cafe-dan-resto-kopo,,Senin - Minggu (10:00 - 22:00),True,True,True,False,True,True,True,"Jadi sabtu sore saya sengaja pergi ke TKI untuk datengin mapirry cafe and resto. Pas baru masuk itu kerasa bgt tempatnya cozzy dan enak bgt buat makan2 keluarga. Menunya komplit banget ada menu indo, itali, asia, dan juga western. Dessert dan minumnya pun lengkap yaMenu yang saya pesanTenderloin lokal super (98k) well doneSeperti namanya, memang dagingnya walaupun dagin sapi lokal tapi supeeer bgt. Dagingnya gampang dipotong dan rasanya itu beuh bgt dilidah. Disajikan bareng kentang sama sayur tapi klo kentang dan sayurnya biasa aja. Cuma sekali lagi dagingnya menurut saya juara.Iga bakar madu saus mampirry (60k)Well, iga bakarnya luar biasa banget ga diapa2in dagingny udah copot sendiri dari tulangnya. Dan ini empuk banget, dipotong pake sendok ga pake twnaga pun bisa. Rasanya dominan manis gurih disertai kuah yang cukup gurih tapi clear bgt ga ada serpihan lemak atau minyak yg mengambang. Disajiin pake nasi dan juga kol goreng gaes. NB nasiny juga ini pulen bgt.Baked rice chicken (40k)Nah baked rice ini kaya pake butter dan ayam nya itu di panggang. Cuma dahsyatnya menu2 daging disini itu dagingnya super empuk. Cukup dipotong pake sendok itu kepotong tanpa perlawanan. Walaupun rasa nasi dan ayam nya itu gurih, tapi ga bikin enek sama sekali malahan ingin makan terus. Overall enak bgt ini juga, tapi klo buat saya porsi nasinya agak kurang sedikit hehe.Overall puas banget makan disini dan seganyangka itu nemu tempat makan yang dagingnya itu bener2 empuk dan enak. Bakal kesini lago next time bareng keluarga besar.","Ketiga kalinya kesini guys, sekangen itu sama mampirry, uhuukk 😆Ku coba beberapa menu, ada chicken shrimp roll, rasanya daging banget, cuman sama tepung luarnya ga nempel yahh jadi pas diambil copot antara kulit-dagingnya, but rasa overall okk aku syukaaa~ Lalu makanan beratnya ada Mandarin Oxtail Goreng, buntutnya empuk banget, bumbunya pun meresap sampe ke tulang, omg! Karena buntutnya kenceng banget rasanya, biar balance sup nya light, surprisingly enyakk dimakan pake nasi 🤤Sirloin sambal matah, dagingnya cenderung kering yah untuk sirloin mah, ku kira awalnya ini tenderloin~ Tapi untuk tekstur pas dikunyah lembut sihh. Sambal matahnya cukup pedes, dikucurin jeruk makin enduleee asem pedes! Nasi rawon nya menurutku kuahnya manis, ku suka kuah yang gurih, dipakein sambel sih enak-enak aja, balik lagi ke selera yahh hihiww~ Minumnya ku coba kiwi berry, syegerrr, asem manis dari kiwi dan strawberry, manisnya pas, cuman terlalu encer aja, dibikin lebih kental kayaknya bakal makin enak!!Setiap bulan sering ada promo lohh, kebetulan ini bulan februari jadi promonya tentang valentine gitu~","berkesempatan untuk ngereview disini, dan disini tuh ternyata tiap bulan selalu nyediain promo yg berbeda dan variatif gais 😄aku nyoba beberapa menuchicken shrimp rollmenurutku ini enak banget, rasa dari ayamnya bener bener juara, teksturnya crunchy dan rasanya pun okemandarin oxtail gorengini juga juara, karena si daging buntutnya smooth banget alias lembut parahh, seasoningnya juga meresap, karena bener bener kerasa to the boneRawonrawonnya juga enak, rasanya cukup lekoh dan dagingnya bener bener lembut banget sirloin sambal matahsirloinnya juga enak, dagingnya ga tipis dan rasa sambal matahnya pun cukup nendang, enakkkamojangini tuh susu strawberry ditambah jelly dan kelapa gitu bener bener seger pas lagi panas mentrang 🥰overall menu yg ditawarkan disini enak enak, dan tempatnya cukup nyaman untuk kumpul keluarga 😄"
Kana Cafe,4.38,['Kafe'],Sarijadi,"Setrasari Plaza, Blok B No. 8 - 9","Jl. Prof. Dr. Surya Sumantri No. 120, Sarijadi, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/kana-cafe-sarijadi,,Senin - Minggu (08:00 - 21:00),True,True,False,False,False,True,True,"Restoran dengan suasana yg nyaman dan spot foto yang bagus.. makanannya pun bervariasi, selalu berkembang dengan menu2 baru..utk minumannya pun sangat menarik , apalagi cake dan tiramisu yg selalu saya pesan tiap datang ke resto Kana.. Thankyou","Dateng agak sorean dan lumayan banyak pengunjung juga, selain instagramable, ambience disini juga adem banget buat nongkrong, menunya pun beragam dari sentuhan nusantara, western, asian, sampai indiannya juga ada.Kali ini pilih nyoba Ayam Sambal Kemangi (39K), porsiannya lumayan gede, ada nasi dengan crispy chicken dan sambal kemangi, dagingnya padet, crunchy kulitnya juga kriuk banget, aroma daun kemangi dan pedes cabai-nya pun ngena banget, sambal-nya dikit si tapi gurihnya berasa.Dessert ada Kelapa Jeruk Granita (39K), perpaduan shaved ice dari perasan jeruk dengan topping semi frozen orange, coconut ice cream, coconut meat dan crumble, ini cocok banget buat panasnya siang bolong, seger banget dengan topping yang menambah sensasi rasa yang unik, rasa kelapa dan jeruknya juga fresh banget.Untuk minumnya sendiri nyoba barista special yang Matcha Coffee Latte (30K), sesuai namanya ini perpaduan matcha dan coffee latte, rasa kopi-nya light dengan creamy matcha di bagian atas, keseluruhan rasanya balace pas, hint rasa kopinya ada, matcha-nya juga berasa.","Salah satu CAFE instagramable daerah Setrasari Bandung, ga nyangka sih di antara deretan ruko ruko setrasari plaza nemu cafe yang tempat nya bikin betah nyaman. Dateng pas jam 1 siang pelayanan nya bagus dan makanan nya cepat drg nya*Beef N Mash daging nya ga ngelawan alias lembut gampang di kunyah deh xixi, saos mushroom nya juga creamy dan gurih enak bikin nagih di paduin sama Mash potatonya perpaduan yg epik*Shrimp Marinara pasta Rasa saos Marinara nya menurutku aga terlalu asem apa lidah aku nya tp masih bisa masuk sih, udang nya gede gede dan aga asin sedikit *Crispy Cauliflower ini enak saos nya bikin nagih tapi crispy Cauliflower teksur dari tepung nya terlalu keras bagi aku.* Classic tiramisu ini enak banget woii, perpaduan tiramisu dan coffee nya bikin pecah banget di mulut * Matcha Coffe Latte ini rasanya Creamy dan Kopi nya berasa tp rasa Matcha nya kurang keluar* Purple magic ini juga enak dan bikin seger asem manis nya pas banget"
De Grote Cafe,4.5,['Kafe'],Dago Atas,,"Jl. Cibengang No. 27, Dago Atas, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/de-grote-cafe-dago-atas,,"Senin - Jumat (08:00 - 22:00), Sabtu (08:00 - 23:00), Minggu (08:00 - 22:00)",True,True,True,False,False,True,True,"Disini bisa romantic dinner loh, full dekorasi meja dan makanannya juga, ada paketannya yahh bisa tanya langsung ke cafenya 😆Aku mah coba ala carte aja, nyoba pindang patin eh ternyata cocok banget rasanya sama seleraku, pindangnya gede, kuahnya asem pedes, asemnya dari buah nanas, dimakan pake nasi makin enak dan kuahnya seger!Cirengnya cheewy, tapi bumbu rujaknya menurutku terlalu cair jadi pas dicocol teh ga nempel ke cirengnya 😂Milkshakenya menurutku cukup manis dan seger, bandreknya enak sih bisa angetin perut~ Interiornya jadul vibes gitu, uniklah pokoknya pas dateng liat langsung. Di lantai 2 nya bisa liat citylight yang cantik sekali, pantesan dipake buat romantic dinner karena beneran suasananya romantis 😍*harga belum termasuk ppn & service","Udah dua kali aku kesini dan gak fail. Meskipun pertama kali kesini udah skeptis paling jualan view doang. Eh, pas masuk interiornya dekorasi jadul. Unik nih.Akhirnya mesen dalam dua kali kunjungan ini tuh - pindang patin sumatera (sumpah ini recommended)Dari kuah dan daging patinnya poll asli. Kuahnya seger khas asem manis gitu. Dan dagingnya lembuuutt..- tenderloin steak (kematangan medium)Bukan yang wah, tapi menurutku kokinya bisa masak dan tau daging. Kan kerasa tuh struktur daging pas dikunyah apalagi pas medium, gak kementahan dan gak mau amis. Lembut dan juicy.- mushroom cream soupBukan yang favorit tapi tidak bikin enek. Porsinya pas dan soupnya secara rasa gak berasa bertepung. Biasanya ku temui yang versi tempat lain ada yang bertepung creamy.- cireng bumbu rujakStandar- tahu cabe garamPedesnya pas, asinnya pas. Tahunya kriuk tapi lembut di dalam- tropical snowMinuman kelapa yang cukup unik tapi tak cocok buat pelepas dahaga- honey badgerIni buatku aneh sih. Jadi, bukan salah resto. Aku aja eksperimen aja. Mixing lemon, madu dan kopinya kek berantem di lidah. Aku pikir keknya aku pilih antara kopi aja atau honey and lemon gitu. Wkwk. Gak cocok asli.Minusnya disini tuh udah mah ke atas lagi dari jalan dago pakar timur, terus belok lagi dan nanjak di jalan terjal tapi masih rusak. Untuk transportasi umum keknya bukan rutenya.","Cafe dan tempat makan di Bandung dengan konsep unik, klasik dan vintage. Full dekorasi classic, kuno dan vintage. Banyak terpasang produk-produk iklan TV tahun 1980-an hingga tahun 2000-an. Bisa bernostalgia yah di sini. Areanya terdiri dari 3 lantai. Aku berada di lantai 2. Lantai 2 dan 3 viewnya kota Bandung banget. Menu yang ditawarkan di sini bermacam macam dari makanan ringan hingga berat. Menu yang kupesan adalah chamomile tea, pindnag patin, banana fitters, red velvet cake, flavor latte, nasi goreng kampung. Sungguh semuanya menggoda dan mengenyangkan. Untuk akses ke sini bisa melalui Jl. Bukit Pakar Timur dan Bukit Pakar Utara."
Rumah Kopi Rawdee,4.35,['Kafe'],Padasuka,"Padasuka Ideal Residence, Blok F3 No. 1","Jl. Pasirluhur, Padasuka, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/rumah-kopi-rawdee-padasuka,,"Senin - Jumat (15:00 - 23:00), Sabtu - Minggu (08:00 - 23:00)",True,True,True,False,False,True,True,"Jadi kafe ini tuh ada di perkomplekan gitu. Konsepnya homey industrial dengan pekarangan cukup indah yaaa.. ngeliatin kebon-kebon gitu. Yaa, minusnya konsep gini tuh kalo musim ujan kek sekarang aja. Untungnya masih ada lumayan area indoor di atas, kalo di bawah mah kurang banyak menurutku.Terus lokasi juga enak kalo disebut hidden gem tapi minusnya gak banyak orang rela ke hidden gem, tapi untungnya makanan disni enak parah.Gak boong lah kalo aku kesini karena kupon dari pergikuliner, tapi dilayani dengan baik. Keren. Pesen chicken blackpepper yang harga nya 20an, gak ada ekspektasi wah, eh taunya dikasih porsi kenyang gini anjir, ayamnya juga banyak. Kalo di kafe tengah kota mah minimal 35 rebu laaah, mantap sih. Rasa blackpeppernya pas, gak too much. Nasinya juga pulen plus daging filletnya serasa fresh gitu. Next ini sih terjebak ekspektasi, yaitu teh kara. Di bayanganku tuh teh hitam di mix dengan santan merk tersebut, eh taunya minuman ini tuh hasil seduhan sangrai kulit kopi jadi rasa dan aroma mirip dengan americano cuma lebih gosong namun softer secara rasa.Jujurnya mah walaupun gak ada promo, aku sih jatuh cinta dan pengen balik nongkrong sini lagi.Oh yaa, aku sampe nambah americano lho, tanpa promo, disini saking betahnya.","Mampir lagi ke Kopi Rawdee bareng teman nih guys mumpung ada kupon dari pergikuliner. Yaps as always suka sama ambience nya selain sejuk juga viewnya lumayan buat refreshing mata & barista disini ramah - ramah semua 😆Aku pesan :- Ice Cappuccino -> suka sama rasa espressonya, aku request double shots jadi cukup strong dan gak watery pas dibiarin lama2, dan untuk latte nya juga aku suka ga over creamy gimana gitu- Kopi Susu Rumahan -> aku ganyoba sih karena punya temanPelayanan & Ambience udah oke banget sihh 🌟🌟🌟🌟🌟","Suasananya enak, adem, full music. Good service 👍, makanan dan cmilannya enak²"
Neduh Kopi,4.17,['Kafe'],Supratman,,"Jl. Terusan Ciliwung No. 17, Supratman, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/neduh-kopi-supratman,,"Senin (15:00 - 22:00), Selasa - Minggu (09:00 - 22:00)",True,True,True,False,False,True,False,"Dapet rekomen dari temen kalo ada dimsum bakar yg enak. Langsung cus deh datengin dan ternyata pas kesana lg penuh bgt alias WL ( malam minggu sih) Karna penasaran jd rela nunggu 5 antrian dan nunggu -+ 1 jam.Aku pesen 3 yg di bakar dan 1 yg di goreng.Tipe dimsumnya yg juicy, gede2, full daging dan ada potongan udang sama cuminya kerasa bgt.Yg paling unik sih krna di oles pake bumbu bakar gtu soalnya rasanya manis, wangi, pokoknya unik deh.Chili oilnya jg enak dan ga bgtu pedes menurut ku.Kalo untuk minumannya aku pesen es kopi susu tp menurutku terlalu tipis rasa kopinya ga berasa sama sekali, hehee Overall oke semuaWorth it sih dan pasti bakal balik lg kesini💯","Disini dimsum bakarnya, Rekomended. Dimsumnya ini gendut gendut, trs potongan ayam dan udangnya juga masih kerasa gt.
Tempatnya juga enak, ngusung halaman belakang rumah gituuuu. Di tempat kopi ada juual roti gituuuu.
Selain dimsum, ada juga donat gitu. Yang paling rekomended itu LKT alias lumpia kulit tahu, mau yg ayam ataupun yang udang sama enaknya.
Kalo malem bisa rame dan gak dapet tempat, karena banyak yang nongkrong. tapi kalo siang ke sore agak sepi dan enak gituuuu suasananya.","Ke Neduh lagiiii, finally nyobain dimsum bakarnya! no debat ya pokoknya ini enak bgt, slalu lupa order yg menu apa tapi tau ah pokoknya review nya enak huhu. Kali ini juga nyobain donat kentangnya yipi, 15k dapet 3 donat. Ini maaf bgt tiap kesini bener-bener suka blank apa yang ku order hahahah minuman dari neduh nya order yang kopi tapi lupa lagi namanya hahahah.Malem bener-bener lebih rame bgt ya ini di Halaman terakhir, pas kali kedua kesini bahkan ga dapet tempat duduk akshsh harus waiting list, syukurnya pas sekarang kesini lagi langsung dapet tempat hehe."
Briiz Chocolate Cafe,4.29,['Kafe'],Palasari,,"Jl. Palasari No. 2, Palasari, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/briiz-chocolate-cafe-palasari,,Senin - Minggu (07:00 - 22:00),True,True,True,False,False,True,True,"Mampir lagi ke Briiz nih guys, dan kali ini aku cobain Kopi dan Koko ku cobain Chocolate nya.Aku pesan :- Hot Coffee Latte -> Yaps secara takaran espresso sama dengan Cappuccino, hanya volume latte sedikit lebih banyak + foam lebih tipis. Overall suka sama after taste beansnya, citarasanya keluar gak cuma flat pahit aja tapi ada citarasa chocolate nut nya dengan paduan latte + foam yang balance.- Chocolate Frappe -> Untuk rasanya aku suka ini, walau jenis frappe tapi balance manis sama pahitnya pas jadi gak enek gitu.Pelayanan Oke & Ambience nya Nyaman deh karena full AC dan free Wi-Fi walau kali ini gak ada Music Playlist yang diputar.","Soft bake Cookies double Choco - Choco nya dark banget, cookiesnya lembut Pound Cake Strawberry - Cakenya lembut, teksturnya kaya bolu, ditambah rasa strawberrynya yg strong Favorite Latte Ice - No sugar, jadi ga manis ..🍽️ : @briiz.co 📍 : Jl. Palasari No 2, Bandung ..#briizchocolate #briizchocolatecafe #favoritelatteice #latteice #poundcakestrawberry #poundcake #softbakechocolate #softbakecookies #softbakecookiesdoublechoco #cookiesdoublechoco #makansamacici #jalanjalansamacici #ngidersamacici","Tempatnya cozy , pelayanannya cepat dan ramah .Spesialis nya cokelat, dari minuman sampe cemilan.- chocolate dream : rasanya coklat banget dan lekoh , ada rasa paitnya tapi masih oke . Diminum sampe tetes terakhir saking enaknya.- cappuccino addict : kopinya berasa banget , tapi manisnya kurang . Cocok buat pecinta kopi."
