title,rate,cuisine,location,address,street,price_from,price_till,url,description,opening_hours,wifi_available,smoking_area_available,outdoor_seat_available,full_time_available,vip_room_available,reservation_available,parking_area_available,review_11,review_12,review_13
Boncafe,4.37,['Barat'],Mulyorejo,"Galaxy Mall 3, Lantai 3","Jl. Dharmahusada Indah Timur No. 35 - 37, Mulyorejo, Surabaya",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/surabaya/boncafe-mulyorejo,,Senin - Minggu (10:00 - 22:00),True,False,False,False,False,True,True,"Salah satu resto steak legend dan terfavorit di Surabaya.- Blackpepper steak, seperti tenderloin steak tapi ada tambahan blackpepper.- Chicken skin, kriuk2 pol...- Nasi goreng HongKong, cenderung asin, tapi enak, lauknya ada udang gede2 dan telur ceplok.- Tokyo Rice Steak, disajikan dengan hot plate dengan topping beef steak, telur dadar dan tambahan sup miso, rasa cenderung hambar, nasi gorengnya ada sayur buncis dan wortel.- Mix Mini Burger, burger isiannya 3 macam, ada kentang, jelly.Tempatnya luas, pelayanannya cepat.Habis makan lamgaung jalan2 deh..","Yesssss, karna setiap moment penting keluargaku pasti kita rayainnya disini.Karna selain tempatnya nyaman (secara di dalam mall) menunya itu loh yg gak bisa move on 😂Menu andalan keluargaku , tenderloin steak , mozarella beef roll kesukaan aku & anakku , gak cuma menu steak aja yg enak2, 1 lagi andalanku yg pualing aku sukaaaaakk 👉🏻 spicy fried rice ( bukan nasi goreng biasa, bumbunya sedep banget, ada kayak daging asap yg super juicy, cuma emang porsinya gak banyak yaaa), oh yaaaa gak cuma itu rotinya itu selalu cepet abis sebelum main course datang hahahahahaha Untuk harganya worth to buy lahhh, secara emang hampir semua menu itu gak ada yg failed.Tempatnya so pasti nyaman, tapi kalo aku lebih sering ke boncafe yg ada di Galaxy mall 3 , jadi abis makan bisa langsung jalan jalan 🤗",Boncafe identik dengan steak dengan harga lumayan mahal tapi menyajikan menu yang worth it dibandingkan dengan resto western lainnya. Rasanya juga diadaptasi dengan lidah Indo jadi pasti wenakk 🤗Kali ini aku nyobain deep fried chicken steak worth banget sih 80k nett dan kenyang ! 👍 Chicken katsunya keliatan dagingnya tepungnya gak keras saosnya melimpah mantap polll 🥳
De Mandailing Cafe N Eatery,4.18,['Kafe'],Wonocolo,,"Jl. Raya Jemursari No. 71, Wonocolo, Surabaya",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/surabaya/de-mandailing-cafe-n-eatery-wonocolo,,Senin - Minggu (10:00 - 21:00),True,True,True,False,False,True,True,"Tempat cukup oke & cozy, pelayanan bagus, cepat, dan ramah. Langung bahas menu yg aku pesan aja ya.Menu pertama yg aku pesan Blackpepper Beef Slice Spesial (48k) rasa beefnya cukup enak menurutku, blackpeppernya kerasa bgt. Dalam satu piring ada beberapa kondimen lain seperti bayam goreng & telur mata sapi yg sangat enak.Menu kedua aku pesan Chicken Mentai with Rice (34k) isinya ayam katsu & chips yg disiram saus mentai, disini yg juara saus mentainya sih enak bgt, plus ada kondimen lain seperti bayam goreng.Menu ketiga yg aku pesan yaitu Chocomarble Pancake (48k) gila wafflenya gede bgt ukurannya plus enak pula, perpaduan saus coklat & es krim vanila meleleh dimulut. Recommended!!!!Utk minum aku pesan Greentea Cookies n Cream Frappe (34k) buat pencinta minuman manis ini cocok bgt sih asli, lalu aku pesan juga Strawberry Yoghurt (31k) ini salah minuman favorit ku sih rasanya segar bgt asli manisnya juga pas.Overall gak pernah bosen kalau kembali lagi kesini sih, sangat recommended.","Gausah ditanya lah ya semua udah pasti pada tau sama cafe ini, kalo biasanya pesen chicken currynya kali ini pesen➡Teriyaki Chicken Schnitzel Special: 8,5/10Buat aku pribadi suka sama menu yang satu ini teriyakinya enak ya walaupun bumbu teriyaki gitu "" aja emang rasanya, sayang bayamnya udah ga crispy, bisa request telurnya mateng atau setengah mateng pake telur omega pula ➡Dragon Banana Smoothies: 7,5/10Smoothiesnya standar dominan rada pisangnya, buah naganya cuma kayak buat warna aja, dikasi topping chia seeds, terus juga kelihatannya ga dikasi gula jadi manis alami dari buahnya jadi buat yang suka manis keliatannya bakal ga doyan Kalo kesini ya bawa uang 100k lah bisa dapet makan sama minum, rekomen 👍","Tak perlu diragukan lagi deh...waffle dsni emank juara...Tingkat kematangan Waffle nya pas, dan rasa toppingnya balance bgtttt"
Cafe Bromo - Sheraton Surabaya Hotel & Towers,4.85,,['Tegalsari'],Sheraton Surabaya Hotel & Towers,"Jl. Embong Malang No. 25 - 31, Tegalsari, Surabaya",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/surabaya/cafe-bromo-sheraton-surabaya-hotel-dan-towers-tegalsari,,Senin - Minggu (06:00 - 22:00),True,False,False,False,True,True,True,"kafe bromo, salah satu spot makanan yang berada di dalam hotel Sheraton. Dengan suasana yang di tata bagus, dekorasi dan makan, disini saya menikmati menu dengan beberapa teman saya. Menu unggulan yang mereka usung aneka noodle dan salted egg mountain. Asian dan Western food pun mereka sajikan berbagai menu mie sehat. Mie ini terbuat dari berbagai macam sayuran seperti bit, wortel, hingga charcoal yang dipercaya mengandung banyak serat. Oh ya g cuman healthy noodle  ada aneka jenis mie dari seluruh penjuru dunia sepertii olahan mie dari Tiongkok seperti kwetiau, Ramen, Soba , dan Udon dari Jepang, Pho Vietnam, olahan mie dengan bakso ala Indonesia hingga mi 
ala Korea.Ada pula salted egg fountain dengan cara kulit ikan, nugget atau kentang cukup di tuangkan salted eggnya","Lunch kali ini kt cobain all you can eat nya cafe Bromo..Banyak macemnya , ada Western food..ada Japanese food..ada Indonesian food...dimsum disini jg disediakan dan banyak pilihannya lho..kue2nya pun bermacam2..pokoknya puas n kenyang...","Makanannya enak2 dan bervariasi dan jg ada makanan tradisionalnya lo (sampe bingung) Mulai dari appetizer, main course, pastry, dan dessertnya rasanya enak . Waktu itu aku cobain all sushinya mantap,sosisnya dagingnya berasa, wafflenya okay, ada eskrimnya pokonya lengkap,suka sama suasananya juga ada view kolam renang, dan waktu itu kebetulan saat jam breakfast jadi pakai paket breakfast."
Boncafe,4.31,['Barat'],Manyar,,"Jl. Manyar Kertoarjo V No. 1 - 5, Manyar, Surabaya",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/surabaya/boncafe-manyar,,Senin - Minggu (10:00 - 22:00),True,False,False,False,True,True,True,"Steak house pertama di Surabaya, uda ada sejak th 90an mungkin dan rasanya lumayan enak meskipun sekarang banyak bertebaran steak house baru tapi rasa dan vibe restonya ga kalah lhoPremium Tenderloin SteakUntuk dagingnya biasa, order medium datangnya rare kebantu hotplate bisa jadi medium.. di sini andalannya well done sihMushroom sauce nya emg juaraDeep Fried ChickenRasa ok dan porsi lumayan banyakKinder Fish and ChipsIkannya enak dan gorengan kentangnya juga ok, tartar sauce juga masih okIce Tea SingaporeIni teh tarik biasa sih","BoncafeRestoran steak di Surabaya yang terkenal. Dulu sudah pernah makan di sini tapi belum jd food reviewer. Pesan chicken schnitzel and chips, mozarella beef roll dan TWG earl grey tea. Ayam fillet digoreng tepung yang crunchy tetapi dalamnya tetap juicy dengan side dish kentang goreng, jagung wortel rebus, agar-agar jelly dan saos cocolan. Menu yang satu lagi steak daging sapi yang diiris digulung kemudian diisi keju leleh mozarella dengan side dish kentang goreng, wortel buncis rebus dan siraman saos. Buat rasa oke, suasana restoran oke, untuk harga juga masih affordable untuk kelas restoran. Buat yang lagi jalan-jalan ke surabaya boleh singgah ke Boncafe","Udah lama banget gak makan steak. Kangen steak khas sby langsung deh ke boncafe.Minumnya beli yang blue ocean itu satu pitcher bisa buat 3 orang. Rasanya kecut manis dan sedikit bersoda. Ada potongan jeruk nipis, apel, nanas, sama nata de coco. Rasanya sih menurtku biasa aja. Nggak terlalu kecut kok. Dan sodanya tipissss banget.Steaknya aku selalu pesen tenderloin. Dan aku sekarang pesen yang premium karna lebih besar dan katanya dagingnya lebih halus. Enakkkk. Aku suka deh sama steak disini. Meski disini tuh saus bawannya original brown saus, tapi kalo kalian minta black paper bisa ya. But aku lebih suka yang original sih. Hehehe. Kentangnya dapet straight cut tapi panjang2 banget, sama mash potato tapi udah digoreng. Terus sayurnya ya standart wortel buncis sama ada onion dan gubis yang dikasih mayo. Ini enak sih.Terus buat anakku pilih dori meal kids. Dia sukaaaa agernya langsung habis. Terus saus tar tarnya dicocol sama kentang doyan banget dia. Dorinya tapi dimakan cuma ujungnya doang. Kenyang kali ya.Minusnya sih pelayannya kurang senyum. Apa karna udah kemaleman juga kali ya. Baik sih mereka dan sopan. Tapi ya kurang senyum aja."
Le Cafe Gourmand,4.28,['Kafe'],Tegalsari,,"Jl. Pregolan No. 2, Tegalsari, Surabaya",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/surabaya/le-cafe-gourmand-tegalsari,,Senin - Minggu (11:00 - 21:00),True,True,True,False,False,True,True,"[Cafe Bernuansa Eropa di Tengah Kota Surabaya 🍵]Le Cafe Gourmand -- Sebuah kafe di daerah pusat kota Surabaya dengan nuansa dan vibes Eropa. Di sini, mereka spesialis menjual ice cream gelato.Di sini, gue cobain Chaifogatto seharga 33k dengan free tester pastry. Ya, termasuk worth it, sih.Rasanya gimana?Gue awalnya ngira ini, tuh teh karena memang pas gue tanya ke mas-nya dia bilang teh. Gak tahunya pas gue coba, ternyata ini, tuh jamur dicampur sama es krim. Ya, bayangin dah rasanya gimana. Anget2 campur dingin, ada rasa rempah berpadu manis susu.Ambience tempatnya enak buat ngumpul sama kerja, nuansanya Eropa banget dan cozy juga. Terus, semakin kental keEropaannya saat musik khas Eropa juga diputar di sini.Pelayanan ramah dan friendly.",Pesen yg birthday cake pake topping kit kat... hmmm yummy... ga tll manis jd ga eneg,"SUWEGER PANCEEN !.Nggak pernah nggak suka sama gelato disinii, selain conenya yang warna warni dan menarik hatii, conenya itu juga anti bocor apalagi rasa gelatonya banyaak dan variatif. Biasanya tiap kesini selalu pesen birthdaycake tapi kali ini penasaran sama rasa mango sorbet dan ternyata enaak banget, beneran kayak makan mangga tapi dibikin versi gelato. Segeer, manis dan nggak bikin eneg sama sekali, nagih bangeet iyaa 😍"
Typica Kopi,4.19,['Kafe'],Mulyorejo,"Ruko San Antonio, Blok N1 No. 83","Jl. Kalisari Utara I, Mulyorejo, Surabaya",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/surabaya/typica-kopi-mulyorejo,,"Selasa - Minggu (09:00 - 22:00), Senin Tutup",True,True,True,False,False,True,True,"Mumpung lagi main ke daerah Pakuwon City, akhirnya mampir ke Typica Kopi. Waktu ke sini pesen Spaghetti Aglio Olio Tuna dan Vanilla LatteSpaghetti Aglio Olio nya ini pake saus balado. Lucu juga karena baru ini makan Aglio Olio pake saus balado. Pedesnya dapet, asin gurihnya juga dapet. Potongan tuna nya juga ga pelit, enak banget. Rasanya enak!Vanilla Latte ini rasanya juga enak. Ga ada pahit dari kopinya. Kerasa milky tapi gak yang creamy banget. Vanilla nya kerasa juga meskipun samar. Penyajiannya sama 3 biskuit..Tempat di Typica Kopi nih lucu. Ada outdoor dan lantai 2 juga. Jadi buat yang mau dateng ngopi sambil merokok juga tetep bisa.. Pelayanannya ramah juga. Nice!","Malming ke daerah ""asing"" karena juaaraaang banget ke sini paling pol kalau ke daerah pakuwon city sini ya ke papaya or eastcoast.Tapi karena dapat kupon dari perkul akhirnya nyobain makan disini.Lokasi di depan d'kitchen cafenya model ruko 2 lantai gitu dari depan keliatan biasa dan kecil ternyata waktu masuk dan duduk di lantai 2 cozy juga nih cafe.Disini kalau mau pesan ke kasir dulu dan bayar baru cari tempat duduk dan makanan di antarkan.Pesan fettucine curry carbonara dan nasi goreng,untuk fettucine rasanya kayak opor 😅,telor setengah matangnya sempurna sedang nasi gorengnya menurutku biasa banget.Porsi makanan disini sedikit banget.","Typica Coffee, sesuai dengan namanya ini kafe berkarakter banget ehe. Dari luar kayaknya ya biasa aja karena tempatnya berjejeran seperti ruko tapi pas di dalem hwooo ucul banget tempatnya. Bangunan terdiri dari dua lantai sih, lantai satu dihiasi warna tosca gitu dan lantai dua banyak mural lucu-lucu dan homey! Juga ada area outdoor di lantai dua dengan view Shopping Street San Antonio Pakuwon City.Aku kesini pesen paketan Nasi Goreng + Jus Semangka, Banana Mocha, dan Manual Brew Papua. Nasi Gorengnya enak, worth it sih soalnya lengkap banget apalagi sudah sepaket sama Jus Semangka yang seger tapi kurang manis waktu itu ehe. Banana Mocha nya juga asik, perpaduan kopi, susu, cokelat, dan tentunya sirup pisang ngeblend jadi satu dan enak banget. Untuk Mnaual Brew Papuanya juga enak."
D'Jawa Cafe & Resto,4.21,['Indonesia'],Gubeng,,"Jl. Jawa No. 33, Gubeng, Surabaya",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/surabaya/d-jawa-cafe-dan-resto-gubeng,,"Selasa - Minggu (11:00 - 22:00), Senin Tutup",True,True,True,False,False,True,True,Citarasa empal suwir dengan fusion kekinian. Empal suwirnya digoreng crispy. Sehingga empalnya bukan legit kayak empal suwir biasa tapi justru dibalut oleh crispy yang gurih. Sanbalnya pun bukan sambal bajak atau bawang yang biasa dipakai untuk penyetan umumnya tapi menggunakan sambal matang. Okay jika ingin menikmati empal suwir penyet dengan cita rasa berbeda. Minumnya saya memesan teh peach yang segar,"pas ke sini kok selalu sepi ya, heran deh mungkin letaknya yg kurang stategis apa ya,, padahal menurutku makanan disini enk2 loh dan harganya juga standart, aku disni pesen Mi Kuah Pedas : ini tuh semacam apa mie laksa kayaknya soalnya dia pake santan, kuahnya sedikit pedas, porsinya ini loh banyak banget,, mienya juga g kematengan,, sesuai banget sih sama yg ada di bayangankues cincau selasih, ini pakai sirup agak kemanisan dikit tapi seger,, gelasnya gede jadinya puas","Lunch kali ini di D'jawa aku pesan nasi rawon dan minumnya strawberry banana smoothies.Nasi rawonnya tuh porsinya menurutku sih jumbo banget ada daging empal,tempe dan telor asin.Kupikir dagingnya tuh cuma empal dan kuah rawon aja ternyata di kuahnya banyak juga dagingnya.Rasa kuahnya light cocok dengan seleraku.Strawberry banana smoothiesnya meskipun creamy tapi seger perpaduan kecut strawberry dan manis creamy dari banana plus susu,enak di minum ditengah cuaca surabaya yang lagi ekstrim panas2nya.Cuma agak heran aja meskipun masakannya enak dan harganya juga ga terlalu mahal tapi resto ini sepi banget,padahal tempatnya cozy buat lunch karena tempatnya teduh."
De Mandailing Cafe N Eatery,4.05,['Kafe'],Klampis,,"Jl. Klampis Jaya No. 144, Klampis, Surabaya",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/surabaya/de-mandailing-cafe-n-eatery-klampis-2,,Senin - Minggu (10:00 - 22:00),True,True,True,False,False,True,True,Ceritanya mau visit si pink room and bear dibelakang gitu tapi ternyata dibuat meeting sama cafe nya sendiri jadi cuma duduk di cafe bagian depan.Crepes nya out of stock jadi cuma dapat satu ini pun actually cuma dikit gini ya slice nya ga besar.Kata teman aku rasanya enak.Minumannya juga fresh²Not bad sih cuma tempatnya aja ya kurang bagus gitu jadinya,Paling suka ke sini soalnya tempatnya semakin cozy dan harganya tetep terjangkau..Menunya juga variatif dan yang pasti porsinya ga main-main..Rasanya juga enak kok..,"Bingung mau makan apa, akhirnya ke sni deh..Pesen waffle yg ukuran wow, beneran bikin wow...Ini sih porsi 2-3 orang, tp aku berjuang habisin, dan tetep ga kuat habisinnya wkwkkw..Untuk rasanya enakk dan ga eneg.."
Le Cafe Gourmand,4.13,['Kafe'],Dukuh Pakis,,"Jl. Bukit Darmo Boulevard, Dukuh Pakis, Surabaya",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/surabaya/le-cafe-gourmand-dukuh-pakis,,Senin - Minggu (08:00 - 23:00),True,True,True,False,False,True,True,"Es krim enak tempat oke nyaman. Harga masih standart. Pilih es krim platter isi 10 jd bisa pilih rasa. Di tempatin cone2 kecil, tp cpt cair",Nongki cantik di siniDi sini terkenal gelato nya tapi di sini jg ada menu kopi juga Aq pesen kopi susu gula aren dan croisant Nutella Untuk kopi susu gula aren nya bisa di pisah untuk gula nyaUntuk rasa kopi nya pasCroisantnya enak Nutella nya kerasa banget Untuk pelayan nya juga bagus,"Beli 2 cup. 1 cup diisi 2 scope es krim.Cup pertama isinya strawberry banana dan matcha, masing masing 1 scope. Matcha nya enak, gak eneg... tapi yang agak failed strawberry banana nya, agak asem, dan bingung gitu deh lidah aku ngerasainnya.Cup kedua isinya red velvet ama pinneaple nastar... seger banget nanasnya OMG... enak banget sih ini, red velvet nya untuk pelengkap rasa manisnya. Pake topping kit kat. ahhh enak bangetJadi emang sengaja sih pengen es krim siang-siang (Surabaya lagi panas kan...) pas banget deh pokoknya. Terbaik deh eskrim disini"
Warung Kopi Premium,4.75,['Kafe'],Wonocolo,,"Jl. Jemur Andayani No. 17A, Wonocolo, Surabaya",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/surabaya/warung-kopi-premium-wonocolo,,Senin - Minggu (17:00 - 01:00),True,True,True,False,False,False,True,"Hai haiAda menu baru di premium loh 'nasi duro' harganya 17k, isinya ada paru babat sama tulang muda plus serundeng yang wenak pol. Ini sambelnya aku pesen dikit aja soalnya pedes hehehehe.Aku juga pesen Kopi Lesung Pipi Gendhis, ini fav bgt rasnaya creamy dan nyatu bgt sama kopinya. The best pokonyaa.Tempatnya bener"" bersih, anyway disini bagiin masker gratis untuk pengunjungnya","Namanya marry jane, kopi rhum dikasih biskuit regal yang rasanya hemm endolita, hanya 20.000 aja kalian bisa nikmati kopi ini loh","Mie pangsit goreng dengan rasa yang sangat sopan, tidak awut-awutan. Pedes, manis, gurih jadi satu tidak saling mendominasi tapi saling berkolaborasi.Buat lo yang diet tapi takut gendut, wajib coba ini. Porsinya sangat sopan loh"
